,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius,BanyakKotaRawan
3857,Jakarta Barat,Malam,Berawan Tebal,55-85,23-33,17
3858,Jakarta Selatan,Dini Hari,Cerah Berawan,55-85,23-33,25
3859,Kepulauan Seribu,Dini Hari,Cerah Berawan,55-85,23-33,0
3860,Jakarta Pusat,Dini Hari,Cerah Berawan,55-85,23-33,2
3861,Jakarta Utara,Dini Hari,Cerah Berawan,55-85,23-33,15
3862,Jakarta Barat,Dini Hari,Cerah,55-85,23-33,17
3863,Jakarta Timur,Malam,Berawan Tebal,55-85,23-33,23
3864,Jakarta Utara,Siang,Hujan Ringan,55-85,23-33,15
3865,Jakarta Pusat,Siang,Hujan Ringan,55-85,23-33,2
3866,Kepulauan Seribu,Siang,Hujan Ringan,55-85,23-33,0
3867,Jakarta Selatan,Siang,Berawan Tebal,55-85,23-33,25
3868,Jakarta Barat,Siang,Hujan Ringan,55-85,23-33,17
3869,Jakarta Timur,Siang,Hujan Ringan,55-85,23-33,23
3870,Jakarta Utara,Pagi,Cerah Berawan,55-85,23-33,15
3871,Jakarta Pusat,Pagi,Cerah Berawan,55-85,23-33,2
3872,Kepulauan Seribu,Pagi,Berawan Tebal,55-85,23-33,0
3873,Jakarta Selatan,Pagi,Cerah Berawan,55-85,23-33,25
3874,Jakarta Barat,Pagi,Cerah Berawan,55-85,23-33,17
3875,Jakarta Timur,Pagi,Cerah Berawan,55-85,23-33,23
3876,Jakarta Selatan,Malam,Berawan,60-85,24-32,25
3877,Kepulauan Seribu,Malam,Berawan,60-85,24-32,0
3878,Jakarta Pusat,Malam,Berawan Tebal,60-85,24-32,2
3879,Jakarta Utara,Malam,Berawan Tebal,60-85,24-32,15
3880,Jakarta Timur,Dini Hari,Berawan,60-85,24-32,23
3881,Jakarta Utara,Dini Hari,Cerah Berawan,60-85,24-32,15
3882,Jakarta Selatan,Dini Hari,Berawan,60-85,24-32,25
3883,Kepulauan Seribu,Dini Hari,Cerah Berawan,60-85,24-32,0
3884,Jakarta Pusat,Dini Hari,Cerah Berawan,60-85,24-32,2
3885,Jakarta Barat,Malam,Berawan,60-85,24-32,17
3886,Jakarta Barat,Dini Hari,Berawan,60-85,24-32,17
3887,Jakarta Timur,Malam,Berawan,60-85,24-32,23
3888,Jakarta Utara,Siang,Berawan,60-85,24-32,15
3889,Jakarta Pusat,Siang,Hujan Ringan,60-85,24-32,2
3890,Jakarta Barat,Pagi,Berawan Tebal,60-85,24-32,17
3891,Jakarta Selatan,Pagi,Hujan Ringan,60-85,24-32,25
3892,Kepulauan Seribu,Pagi,Cerah Berawan,60-85,24-32,0
3893,Jakarta Pusat,Pagi,Berawan,60-85,24-32,2
3894,Jakarta Timur,Pagi,Berawan,60-85,24-32,23
3895,Jakarta Timur,Siang,Hujan Ringan,60-85,24-32,23
3896,Jakarta Barat,Siang,Berawan Tebal,60-85,24-32,17
3897,Jakarta Selatan,Siang,Hujan Ringan,60-85,24-32,25
3898,Kepulauan Seribu,Siang,Berawan Tebal,60-85,24-32,0
3899,Jakarta Utara,Pagi,Berawan,60-85,24-32,15
3900,Jakarta Barat,Malam,Berawan,60-90,24-33,17
3901,Jakarta Pusat,Dini Hari,Cerah Berawan,60-90,24-33,2
3902,Kepulauan Seribu,Dini Hari,Cerah Berawan,60-90,24-33,0
3903,Jakarta Selatan,Dini Hari,Cerah Berawan,60-90,24-33,25
3904,Jakarta Barat,Dini Hari,Cerah Berawan,60-90,24-33,17
3905,Jakarta Timur,Dini Hari,Cerah Berawan,60-90,24-33,23
3906,Jakarta Utara,Malam,Berawan,60-90,24-33,15
3907,Jakarta Pusat,Malam,Berawan,60-90,24-33,2
3908,Kepulauan Seribu,Malam,Hujan Ringan,60-90,24-33,0
3909,Jakarta Selatan,Malam,Berawan,60-90,24-33,25
3910,Jakarta Timur,Malam,Berawan,60-90,24-33,23
3911,Jakarta Utara,Dini Hari,Cerah Berawan,60-90,24-33,15
3912,Jakarta Pusat,Siang,Berawan,60-90,24-33,2
3913,Jakarta Timur,Pagi,Berawan,60-90,24-33,23
3914,Jakarta Barat,Pagi,Berawan Tebal,60-90,24-33,17
3915,Jakarta Selatan,Pagi,Hujan Ringan,60-90,24-33,25
3916,Kepulauan Seribu,Pagi,Cerah Berawan,60-90,24-33,0
3917,Jakarta Pusat,Pagi,Cerah Berawan,60-90,24-33,2
3918,Jakarta Utara,Siang,Berawan,60-90,24-33,15
3919,Jakarta Timur,Siang,Hujan Ringan,60-90,24-33,23
3920,Jakarta Barat,Siang,Hujan Ringan,60-90,24-33,17
3921,Jakarta Selatan,Siang,Hujan Lokal,60-90,24-33,25
3922,Kepulauan Seribu,Siang,Berawan,60-90,24-33,0
3923,Jakarta Utara,Pagi,Cerah Berawan,60-90,24-33,15
3924,Jakarta Selatan,Malam,Berawan Tebal,55-85,23-33,25
3925,Kepulauan Seribu,Malam,Berawan Tebal,55-85,23-33,0
3926,Jakarta Pusat,Malam,Berawan Tebal,55-85,23-33,2
3927,Jakarta Utara,Malam,Berawan Tebal,55-85,23-33,15
3928,Jakarta Timur,Dini Hari,Cerah Berawan,55-85,23-33,23
3929,Jakarta Selatan,Dini Hari,Cerah Berawan,55-85,23-33,25
3930,Kepulauan Seribu,Dini Hari,Cerah Berawan,55-85,23-33,0
3931,Jakarta Pusat,Dini Hari,Cerah Berawan,55-85,23-33,2
3932,Jakarta Utara,Dini Hari,Cerah Berawan,55-85,23-33,15
3933,Jakarta Barat,Malam,Berawan Tebal,55-85,23-33,17
3934,Jakarta Barat,Dini Hari,Cerah,55-85,23-33,17
3935,Jakarta Timur,Malam,Berawan Tebal,55-85,23-33,23
3936,Jakarta Utara,Siang,Hujan Ringan,55-85,23-33,15
3937,Jakarta Pusat,Siang,Hujan Ringan,55-85,23-33,2
3938,Kepulauan Seribu,Siang,Hujan Ringan,55-85,23-33,0
3939,Jakarta Selatan,Siang,Berawan Tebal,55-85,23-33,25
3940,Jakarta Barat,Siang,Hujan Ringan,55-85,23-33,17
3941,Jakarta Timur,Siang,Hujan Ringan,55-85,23-33,23
3942,Jakarta Utara,Pagi,Cerah Berawan,55-85,23-33,15
3943,Jakarta Pusat,Pagi,Cerah Berawan,55-85,23-33,2
3944,Kepulauan Seribu,Pagi,Berawan Tebal,55-85,23-33,0
3945,Jakarta Selatan,Pagi,Cerah Berawan,55-85,23-33,25
3946,Jakarta Barat,Pagi,Cerah Berawan,55-85,23-33,17
3947,Jakarta Timur,Pagi,Cerah Berawan,55-85,23-33,23
3948,Jakarta Selatan,Malam,Hujan Ringan,65-85,24-33,25
3949,Kepulauan Seribu,Malam,Berawan,65-85,24-33,0
3950,Jakarta Pusat,Malam,Berawan Tebal,65-85,24-33,2
3951,Jakarta Utara,Malam,Berawan Tebal,65-85,24-33,15
3952,Jakarta Timur,Dini Hari,Berawan,65-85,24-33,23
3953,Jakarta Utara,Dini Hari,Hujan Ringan,65-85,24-33,15
3954,Jakarta Selatan,Dini Hari,Berawan,65-85,24-33,25
3955,Kepulauan Seribu,Dini Hari,Hujan Lokal,65-85,24-33,0
3956,Jakarta Pusat,Dini Hari,Berawan,65-85,24-33,2
3957,Jakarta Barat,Malam,Hujan Ringan,65-85,24-33,17
3958,Jakarta Barat,Dini Hari,Berawan,65-85,24-33,17
3959,Jakarta Timur,Malam,Hujan Ringan,65-85,24-33,23
3960,Jakarta Utara,Siang,Cerah Berawan,65-85,24-33,15
3961,Jakarta Pusat,Siang,Cerah Berawan,65-85,24-33,2
3962,Jakarta Barat,Pagi,Berawan Tebal,65-85,24-33,17
3963,Jakarta Selatan,Pagi,Berawan Tebal,65-85,24-33,25
3964,Kepulauan Seribu,Pagi,Berawan,65-85,24-33,0
3965,Jakarta Pusat,Pagi,Berawan,65-85,24-33,2
3966,Jakarta Timur,Pagi,Berawan Tebal,65-85,24-33,23
3967,Jakarta Timur,Siang,Hujan Ringan,65-85,24-33,23
3968,Jakarta Barat,Siang,Hujan Ringan,65-85,24-33,17
3969,Jakarta Selatan,Siang,Hujan Lokal,65-85,24-33,25
3970,Kepulauan Seribu,Siang,Cerah Berawan,65-85,24-33,0
3971,Jakarta Utara,Pagi,Berawan,65-85,24-33,15
3972,Jakarta Selatan,Malam,Hujan Lokal,55-85,24-33,25
3973,Jakarta Utara,Dini Hari,Cerah Berawan,55-85,24-33,15
3974,Jakarta Pusat,Dini Hari,Cerah Berawan,55-85,24-33,2
3975,Kepulauan Seribu,Dini Hari,Cerah Berawan,55-85,24-33,0
3976,Jakarta Selatan,Dini Hari,Cerah Berawan,55-85,24-33,25
3977,Jakarta Barat,Dini Hari,Berawan,55-85,24-33,17
3978,Jakarta Timur,Dini Hari,Cerah Berawan,55-85,24-33,23
3979,Jakarta Utara,Malam,Hujan Ringan,55-85,24-33,15
3980,Jakarta Pusat,Malam,Berawan Tebal,55-85,24-33,2
3981,Kepulauan Seribu,Malam,Hujan Ringan,55-85,24-33,0
3982,Jakarta Barat,Malam,Hujan Ringan,55-85,24-33,17
3983,Jakarta Timur,Malam,Berawan,55-85,24-33,23
3984,Jakarta Timur,Pagi,Hujan Ringan,55-85,24-33,23
3985,Jakarta Utara,Siang,Hujan Lokal,55-85,24-33,15
3986,Jakarta Barat,Pagi,Hujan Lokal,55-85,24-33,17
3987,Jakarta Selatan,Pagi,Hujan Ringan,55-85,24-33,25
3988,Jakarta Pusat,Pagi,Hujan Lokal,55-85,24-33,2
3989,Jakarta Utara,Pagi,Cerah Berawan,55-85,24-33,15
3990,Kepulauan Seribu,Pagi,Cerah Berawan,55-85,24-33,0
3991,Jakarta Barat,Siang,Hujan Lokal,55-85,24-33,17
3992,Jakarta Selatan,Siang,Hujan Lokal,55-85,24-33,25
3993,Kepulauan Seribu,Siang,Hujan Lokal,55-85,24-33,0
3994,Jakarta Pusat,Siang,Hujan Lokal,55-85,24-33,2
3995,Jakarta Timur,Siang,Hujan Lokal,55-85,24-33,23
3996,Jakarta Utara,Malam,Cerah Berawan,55-75,23-33,15
3997,Jakarta Selatan,Malam,Cerah Berawan,55-75,23-33,25
3998,Kepulauan Seribu,Malam,Cerah Berawan,55-75,23-33,0
3999,Jakarta Pusat,Malam,Cerah Berawan,55-75,23-33,2
4000,Jakarta Timur,Dini Hari,Berawan,55-75,23-33,23
4001,Jakarta Barat,Malam,Cerah Berawan,55-75,23-33,17
4002,Jakarta Selatan,Dini Hari,Berawan,55-75,23-33,25
4003,Kepulauan Seribu,Dini Hari,Hujan Lokal,55-75,23-33,0
4004,Jakarta Pusat,Dini Hari,Berawan,55-75,23-33,2
4005,Jakarta Utara,Dini Hari,Berawan,55-75,23-33,15
4006,Jakarta Barat,Dini Hari,Berawan,55-75,23-33,17
4007,Jakarta Timur,Malam,Cerah Berawan,55-75,23-33,23
4008,Jakarta Utara,Siang,Cerah Berawan,55-75,23-33,15
4009,Jakarta Pusat,Siang,Cerah Berawan,55-75,23-33,2
4010,Kepulauan Seribu,Siang,Cerah Berawan,55-75,23-33,0
4011,Jakarta Selatan,Siang,Cerah Berawan,55-75,23-33,25
4012,Jakarta Barat,Siang,Berawan,55-75,23-33,17
4013,Jakarta Timur,Siang,Cerah Berawan,55-75,23-33,23
4014,Jakarta Utara,Pagi,Cerah Berawan,55-75,23-33,15
4015,Jakarta Pusat,Pagi,Cerah Berawan,55-75,23-33,2
4016,Kepulauan Seribu,Pagi,Cerah Berawan,55-75,23-33,0
4017,Jakarta Selatan,Pagi,Cerah Berawan,55-75,23-33,25
4018,Jakarta Barat,Pagi,Cerah Berawan,55-75,23-33,17
4019,Jakarta Timur,Pagi,Cerah Berawan,55-75,23-33,23
4020,Jakarta Selatan,Malam,Cerah Berawan,50-75,24-33,25
4021,Kepulauan Seribu,Malam,Cerah Berawan,50-75,24-33,0
4022,Jakarta Pusat,Malam,Cerah Berawan,50-75,24-33,2
4023,Jakarta Utara,Malam,Cerah Berawan,50-75,24-33,15
4024,Jakarta Timur,Dini Hari,Berawan,50-75,24-33,23
4025,Jakarta Utara,Dini Hari,Berawan,50-75,24-33,15
4026,Jakarta Selatan,Dini Hari,Berawan,50-75,24-33,25
4027,Kepulauan Seribu,Dini Hari,Hujan Lokal,50-75,24-33,0
4028,Jakarta Pusat,Dini Hari,Berawan,50-75,24-33,2
4029,Jakarta Barat,Malam,Cerah Berawan,50-75,24-33,17
4030,Jakarta Barat,Dini Hari,Berawan,50-75,24-33,17
4031,Jakarta Timur,Malam,Cerah Berawan,50-75,24-33,23
4032,Jakarta Utara,Siang,Cerah Berawan,50-75,24-33,15
4033,Jakarta Pusat,Siang,Cerah Berawan,50-75,24-33,2
4034,Jakarta Barat,Pagi,Cerah Berawan,50-75,24-33,17
4035,Jakarta Selatan,Pagi,Cerah Berawan,50-75,24-33,25
4036,Kepulauan Seribu,Pagi,Cerah Berawan,50-75,24-33,0
4037,Jakarta Pusat,Pagi,Cerah Berawan,50-75,24-33,2
4038,Jakarta Timur,Pagi,Cerah Berawan,50-75,24-33,23
4039,Jakarta Timur,Siang,Cerah Berawan,50-75,24-33,23
4040,Jakarta Barat,Siang,Berawan,50-75,24-33,17
4041,Jakarta Selatan,Siang,Cerah Berawan,50-75,24-33,25
4042,Kepulauan Seribu,Siang,Cerah Berawan,50-75,24-33,0
4043,Jakarta Utara,Pagi,Cerah Berawan,50-75,24-33,15
4044,Jakarta Selatan,Malam,Berawan,65-90,24-32,25
4045,Jakarta Utara,Dini Hari,Berawan,65-90,24-32,15
4046,Jakarta Pusat,Dini Hari,Berawan,65-90,24-32,2
4047,Kepulauan Seribu,Dini Hari,Berawan,65-90,24-32,0
4048,Jakarta Selatan,Dini Hari,Berawan,65-90,24-32,25
4049,Jakarta Barat,Dini Hari,Berawan Tebal,65-90,24-32,17
4050,Jakarta Timur,Dini Hari,Berawan,65-90,24-32,23
4051,Jakarta Utara,Malam,Berawan,65-90,24-32,15
4052,Jakarta Pusat,Malam,Berawan,65-90,24-32,2
4053,Kepulauan Seribu,Malam,Hujan Ringan,65-90,24-32,0
4054,Jakarta Barat,Malam,Berawan,65-90,24-32,17
4055,Jakarta Timur,Malam,Berawan,65-90,24-32,23
4056,Jakarta Timur,Pagi,Cerah Berawan,65-90,24-32,23
4057,Jakarta Barat,Pagi,Cerah Berawan,65-90,24-32,17
4058,Jakarta Selatan,Pagi,Cerah Berawan,65-90,24-32,25
4059,Kepulauan Seribu,Pagi,Cerah Berawan,65-90,24-32,0
4060,Jakarta Pusat,Pagi,Cerah Berawan,65-90,24-32,2
4061,Jakarta Utara,Pagi,Cerah Berawan,65-90,24-32,15
4062,Jakarta Utara,Siang,Berawan,65-90,24-32,15
4063,Jakarta Barat,Siang,Berawan,65-90,24-32,17
4064,Jakarta Selatan,Siang,Berawan,65-90,24-32,25
4065,Kepulauan Seribu,Siang,Berawan,65-90,24-32,0
4066,Jakarta Pusat,Siang,Berawan,65-90,24-32,2
4067,Jakarta Timur,Siang,Berawan,65-90,24-32,23
4068,Jakarta Selatan,Malam,Berawan,70-95,24-32,25
4069,Kepulauan Seribu,Malam,Hujan Ringan,70-95,24-32,0
4070,Jakarta Pusat,Malam,Berawan,70-95,24-32,2
4071,Jakarta Utara,Malam,Berawan,70-95,24-32,15
4072,Jakarta Timur,Dini Hari,Berawan Tebal,70-95,24-32,23
4073,Jakarta Selatan,Dini Hari,Berawan Tebal,70-95,24-32,25
4074,Kepulauan Seribu,Dini Hari,Berawan Tebal,70-95,24-32,0
4075,Jakarta Pusat,Dini Hari,Berawan Tebal,70-95,24-32,2
4076,Jakarta Utara,Dini Hari,Berawan Tebal,70-95,24-32,15
4077,Jakarta Barat,Malam,Berawan,70-95,24-32,17
4078,Jakarta Barat,Dini Hari,Berawan Tebal,70-95,24-32,17
4079,Jakarta Utara,Siang,Berawan Tebal,70-95,24-32,15
4080,Jakarta Selatan,Siang,Hujan Ringan,70-95,24-32,25
4081,Jakarta Pusat,Siang,Berawan Tebal,70-95,24-32,2
4082,Kepulauan Seribu,Siang,Hujan Ringan,70-95,24-32,0
4083,Jakarta Barat,Siang,Berawan Tebal,70-95,24-32,17
4084,Jakarta Timur,Siang,Berawan Tebal,70-95,24-32,23
4085,Jakarta Utara,Pagi,Berawan Tebal,70-95,24-32,15
4086,Jakarta Pusat,Pagi,Berawan Tebal,70-95,24-32,2
4087,Kepulauan Seribu,Pagi,Berawan,70-95,24-32,0
4088,Jakarta Selatan,Pagi,Hujan Lokal,70-95,24-32,25
4089,Jakarta Barat,Pagi,Berawan Tebal,70-95,24-32,17
4090,Jakarta Timur,Pagi,Berawan Tebal,70-95,24-32,23
4091,Jakarta Timur,Malam,Berawan,70-95,24-32,23
4092,Jakarta Utara,Malam,Cerah Berawan,60-95,23-33,15
4093,Jakarta Selatan,Malam,Cerah Berawan,60-95,23-33,25
4094,Kepulauan Seribu,Malam,Cerah Berawan,60-95,23-33,0
4095,Jakarta Pusat,Malam,Cerah Berawan,60-95,23-33,2
4096,Jakarta Timur,Dini Hari,Berawan,60-95,23-33,23
4097,Jakarta Barat,Malam,Cerah Berawan,60-95,23-33,17
4098,Jakarta Selatan,Dini Hari,Berawan,60-95,23-33,25
4099,Kepulauan Seribu,Dini Hari,Hujan Sedang,60-95,23-33,0
4100,Jakarta Pusat,Dini Hari,Berawan,60-95,23-33,2
4101,Jakarta Utara,Dini Hari,Berawan,60-95,23-33,15
4102,Jakarta Barat,Dini Hari,Berawan,60-95,23-33,17
4103,Jakarta Timur,Malam,Cerah Berawan,60-95,23-33,23
4104,Jakarta Utara,Siang,Berawan,60-95,23-33,15
4105,Jakarta Pusat,Siang,Berawan,60-95,23-33,2
4106,Kepulauan Seribu,Siang,Cerah Berawan,60-95,23-33,0
4107,Jakarta Selatan,Siang,Berawan,60-95,23-33,25
4108,Jakarta Barat,Siang,Berawan,60-95,23-33,17
4109,Jakarta Timur,Siang,Berawan,60-95,23-33,23
4110,Jakarta Utara,Pagi,Berawan Tebal,60-95,23-33,15
4111,Jakarta Pusat,Pagi,Hujan Lokal,60-95,23-33,2
4112,Kepulauan Seribu,Pagi,Berawan,60-95,23-33,0
4113,Jakarta Selatan,Pagi,Hujan Lokal,60-95,23-33,25
4114,Jakarta Barat,Pagi,Hujan Lokal,60-95,23-33,17
4115,Jakarta Timur,Pagi,Hujan Lokal,60-95,23-33,23
4116,Jakarta Selatan,Malam,Berawan,55-90,23-33,25
4117,Kepulauan Seribu,Malam,Hujan Lokal,55-90,23-33,0
4118,Jakarta Pusat,Malam,Berawan,55-90,23-33,2
4119,Jakarta Utara,Malam,Berawan,55-90,23-33,15
4120,Jakarta Timur,Dini Hari,Berawan,55-90,23-33,23
4121,Jakarta Utara,Dini Hari,Berawan,55-90,23-33,15
4122,Jakarta Selatan,Dini Hari,Berawan,55-90,23-33,25
4123,Kepulauan Seribu,Dini Hari,Berawan,55-90,23-33,0
4124,Jakarta Pusat,Dini Hari,Berawan,55-90,23-33,2
4125,Jakarta Barat,Malam,Berawan,55-90,23-33,17
4126,Jakarta Barat,Dini Hari,Berawan,55-90,23-33,17
4127,Jakarta Timur,Malam,Berawan,55-90,23-33,23
4128,Jakarta Utara,Siang,Berawan,55-90,23-33,15
4129,Jakarta Pusat,Siang,Berawan,55-90,23-33,2
4130,Jakarta Barat,Pagi,Hujan Lokal,55-90,23-33,17
4131,Jakarta Selatan,Pagi,Hujan Sedang,55-90,23-33,25
4132,Kepulauan Seribu,Pagi,Cerah Berawan,55-90,23-33,0
4133,Jakarta Pusat,Pagi,Hujan Lokal,55-90,23-33,2
4134,Jakarta Timur,Pagi,Berawan,55-90,23-33,23
4135,Jakarta Timur,Siang,Berawan,55-90,23-33,23
4136,Jakarta Barat,Siang,Berawan,55-90,23-33,17
4137,Jakarta Selatan,Siang,Berawan Tebal,55-90,23-33,25
4138,Kepulauan Seribu,Siang,Berawan,55-90,23-33,0
4139,Jakarta Utara,Pagi,Cerah Berawan,55-90,23-33,15
4140,Jakarta Selatan,Malam,Cerah,40-70,22-33,25
4141,Jakarta Utara,Dini Hari,Cerah Berawan,40-70,22-33,15
4142,Jakarta Pusat,Dini Hari,Cerah Berawan,40-70,22-33,2
4143,Kepulauan Seribu,Dini Hari,Cerah Berawan,40-70,22-33,0
4144,Jakarta Selatan,Dini Hari,Cerah Berawan,40-70,22-33,25
4145,Jakarta Barat,Dini Hari,Cerah Berawan,40-70,22-33,17
4146,Jakarta Timur,Dini Hari,Cerah Berawan,40-70,22-33,23
4147,Jakarta Utara,Malam,Cerah,40-70,22-33,15
4148,Jakarta Pusat,Malam,Cerah,40-70,22-33,2
4149,Kepulauan Seribu,Malam,Cerah,40-70,22-33,0
4150,Jakarta Barat,Malam,Cerah,40-70,22-33,17
4151,Jakarta Timur,Malam,Cerah,40-70,22-33,23
4152,Jakarta Timur,Pagi,Cerah,40-70,22-33,23
4153,Jakarta Barat,Pagi,Cerah Berawan,40-70,22-33,17
4154,Jakarta Selatan,Pagi,Cerah,40-70,22-33,25
4155,Kepulauan Seribu,Pagi,Cerah Berawan,40-70,22-33,0
4156,Jakarta Pusat,Pagi,Cerah,40-70,22-33,2
4157,Jakarta Utara,Pagi,Cerah,40-70,22-33,15
4158,Jakarta Utara,Siang,Cerah,40-70,22-33,15
4159,Jakarta Barat,Siang,Berawan Tebal,40-70,22-33,17
4160,Jakarta Selatan,Siang,Cerah Berawan,40-70,22-33,25
4161,Kepulauan Seribu,Siang,Cerah Berawan,40-70,22-33,0
4162,Jakarta Pusat,Siang,Cerah,40-70,22-33,2
4163,Jakarta Timur,Siang,Cerah Berawan,40-70,22-33,23
4164,Jakarta Selatan,Malam,Cerah Berawan,65-85,27-29,25
4165,Kepulauan Seribu,Malam,Berawan,65-85,27-29,0
4166,Jakarta Pusat,Malam,Berawan,65-85,27-29,2
4167,Jakarta Utara,Malam,Berawan,65-85,27-29,15
4168,Jakarta Timur,Dini Hari,Cerah,65-85,27-29,23
4169,Jakarta Selatan,Dini Hari,Cerah,65-85,27-29,25
4170,Kepulauan Seribu,Dini Hari,Cerah,65-85,27-29,0
4171,Jakarta Pusat,Dini Hari,Cerah,65-85,27-29,2
4172,Jakarta Utara,Dini Hari,Cerah,65-85,27-29,15
4173,Jakarta Barat,Malam,Berawan,65-85,27-29,17
4174,Jakarta Barat,Dini Hari,Cerah,65-85,27-29,17
4175,Jakarta Utara,Siang,Cerah Berawan,65-85,27-29,15
4176,Jakarta Selatan,Siang,Berawan,65-85,27-29,25
4177,Jakarta Pusat,Siang,Cerah Berawan,65-85,27-29,2
4178,Kepulauan Seribu,Siang,Cerah Berawan,65-85,27-29,0
4179,Jakarta Barat,Siang,Cerah Berawan,65-85,27-29,17
4180,Jakarta Timur,Siang,Cerah Berawan,65-85,27-29,23
4181,Jakarta Utara,Pagi,Cerah,65-85,27-29,15
4182,Jakarta Pusat,Pagi,Cerah,65-85,27-29,2
4183,Kepulauan Seribu,Pagi,Cerah,65-85,27-29,0
4184,Jakarta Selatan,Pagi,Cerah,65-85,27-29,25
4185,Jakarta Barat,Pagi,Cerah Berawan,65-85,27-29,17
4186,Jakarta Timur,Pagi,Cerah,65-85,27-29,23
4187,Jakarta Timur,Malam,Berawan,65-85,27-29,23
4188,Jakarta Utara,Malam,Cerah Berawan,65-85,23-31,15
4189,Jakarta Selatan,Malam,Cerah Berawan,65-85,23-31,25
4190,Kepulauan Seribu,Malam,Cerah Berawan,65-85,23-31,0
4191,Jakarta Pusat,Malam,Cerah Berawan,65-85,23-31,2
4192,Jakarta Timur,Dini Hari,Cerah Berawan,65-85,23-31,23
4193,Jakarta Barat,Malam,Cerah Berawan,65-85,23-31,17
4194,Jakarta Selatan,Dini Hari,Cerah Berawan,65-85,23-31,25
4195,Kepulauan Seribu,Dini Hari,Cerah Berawan,65-85,23-31,0
4196,Jakarta Pusat,Dini Hari,Cerah Berawan,65-85,23-31,2
4197,Jakarta Utara,Dini Hari,Cerah Berawan,65-85,23-31,15
4198,Jakarta Barat,Dini Hari,Cerah Berawan,65-85,23-31,17
4199,Jakarta Timur,Malam,Cerah Berawan,65-85,23-31,23
4200,Jakarta Utara,Siang,Cerah Berawan,65-85,23-31,15
4201,Jakarta Pusat,Siang,Cerah Berawan,65-85,23-31,2
4202,Jakarta Barat,Pagi,Cerah Berawan,65-85,23-31,17
4203,Jakarta Selatan,Pagi,Cerah Berawan,65-85,23-31,25
4204,Kepulauan Seribu,Pagi,Cerah Berawan,65-85,23-31,0
4205,Jakarta Pusat,Pagi,Cerah Berawan,65-85,23-31,2
4206,Jakarta Timur,Pagi,Cerah Berawan,65-85,23-31,23
4207,Jakarta Timur,Siang,Cerah Berawan,65-85,23-31,23
4208,Jakarta Barat,Siang,Cerah Berawan,65-85,23-31,17
4209,Jakarta Selatan,Siang,Cerah Berawan,65-85,23-31,25
4210,Kepulauan Seribu,Siang,Cerah Berawan,65-85,23-31,0
4211,Jakarta Utara,Pagi,Cerah Berawan,65-85,23-31,15
4212,Jakarta Selatan,Malam,Cerah Berawan,55-80,25-32,25
4213,Jakarta Utara,Dini Hari,Cerah,55-80,25-32,15
4214,Jakarta Pusat,Dini Hari,Cerah,55-80,25-32,2
4215,Kepulauan Seribu,Dini Hari,Cerah,55-80,25-32,0
4216,Jakarta Selatan,Dini Hari,Cerah,55-80,25-32,25
4217,Jakarta Barat,Dini Hari,Cerah,55-80,25-32,17
4218,Jakarta Timur,Dini Hari,Cerah,55-80,25-32,23
4219,Jakarta Utara,Malam,Cerah Berawan,55-80,25-32,15
4220,Jakarta Pusat,Malam,Cerah Berawan,55-80,25-32,2
4221,Kepulauan Seribu,Malam,Cerah Berawan,55-80,25-32,0
4222,Jakarta Barat,Malam,Cerah Berawan,55-80,25-32,17
4223,Jakarta Timur,Malam,Cerah Berawan,55-80,25-32,23
4224,Jakarta Timur,Pagi,Cerah Berawan,55-80,25-32,23
4225,Jakarta Utara,Siang,Cerah Berawan,55-80,25-32,15
4226,Jakarta Barat,Pagi,Cerah Berawan,55-80,25-32,17
4227,Jakarta Selatan,Pagi,Cerah Berawan,55-80,25-32,25
4228,Jakarta Pusat,Pagi,Cerah,55-80,25-32,2
4229,Jakarta Utara,Pagi,Cerah,55-80,25-32,15
4230,Kepulauan Seribu,Pagi,Cerah,55-80,25-32,0
4231,Jakarta Barat,Siang,Cerah Berawan,55-80,25-32,17
4232,Jakarta Selatan,Siang,Cerah Berawan,55-80,25-32,25
4233,Kepulauan Seribu,Siang,Cerah,55-80,25-32,0
4234,Jakarta Pusat,Siang,Cerah Berawan,55-80,25-32,2
4235,Jakarta Timur,Siang,Cerah Berawan,55-80,25-32,23
4236,Jakarta Utara,Malam,Cerah Berawan,55-80,24-33,15
4237,Jakarta Selatan,Malam,Cerah Berawan,55-80,24-33,25
4238,Kepulauan Seribu,Malam,Cerah Berawan,55-80,24-33,0
4239,Jakarta Pusat,Malam,Cerah Berawan,55-80,24-33,2
4240,Jakarta Timur,Dini Hari,Cerah Berawan,55-80,24-33,23
4241,Jakarta Barat,Malam,Cerah Berawan,55-80,24-33,17
4242,Jakarta Selatan,Dini Hari,Cerah Berawan,55-80,24-33,25
4243,Kepulauan Seribu,Dini Hari,Cerah,55-80,24-33,0
4244,Jakarta Pusat,Dini Hari,Cerah,55-80,24-33,2
4245,Jakarta Utara,Dini Hari,Cerah,55-80,24-33,15
4246,Jakarta Barat,Dini Hari,Cerah,55-80,24-33,17
4247,Jakarta Timur,Malam,Cerah Berawan,55-80,24-33,23
4248,Jakarta Utara,Siang,Cerah Berawan,55-80,24-33,15
4249,Jakarta Pusat,Siang,Cerah Berawan,55-80,24-33,2
4250,Kepulauan Seribu,Siang,Cerah Berawan,55-80,24-33,0
4251,Jakarta Selatan,Siang,Cerah Berawan,55-80,24-33,25
